initial_number_sheep,initial_number_wolves,grass_regrowth_time,sheep_gain_from_food,wolf_gain_from_food,sheep_reproduce,wolf_reproduce,technique,sample_size
199,65,12,19,18,7,1,random,10000
247,114,81,2,69,8,4,random,10000
187,137,56,16,71,10,6,random,10000
6,82,68,33,12,20,19,random,10000
158,180,17,14,63,9,14,random,10000
92,159,74,33,1,9,9,random,10000
31,84,36,37,67,2,8,random,10000
167,230,47,0,65,18,4,random,10000
222,57,0,48,97,6,14,random,10000
155,61,62,5,3,4,9,random,10000
184,103,9,5,100,8,6,random,10000
120,137,94,6,82,17,6,random,10000
140,221,4,42,49,14,17,random,10000
71,96,7,45,1,6,13,random,10000
121,170,59,35,20,7,8,random,10000
239,235,62,3,35,7,0,random,10000
160,176,61,47,79,9,1,random,10000
121,211,39,19,11,7,11,random,10000
165,155,87,47,0,13,19,random,10000
82,222,72,10,92,18,16,random,10000
3,240,32,13,79,19,3,random,10000
140,70,78,18,88,14,2,random,10000
167,212,55,35,98,9,12,random,10000
111,96,94,22,22,10,1,random,10000
24,156,12,26,90,15,20,random,10000
198,34,82,41,30,3,17,random,10000
21,5,90,0,33,4,18,random,10000
194,225,68,22,30,14,7,random,10000
53,25,36,29,21,16,4,random,10000
219,107,5,41,96,8,0,random,10000
171,212,98,39,45,1,20,random,10000
153,55,52,35,40,14,5,random,10000
183,175,47,34,73,8,0,random,10000
11,57,36,28,9,19,16,random,10000
94,119,93,23,94,8,1,random,10000
132,210,13,10,11,6,3,random,10000
36,186,49,23,15,6,18,random,10000
201,54,74,40,7,13,13,random,10000
188,144,16,4,50,5,14,random,10000
92,76,42,35,10,7,15,random,10000
56,179,57,31,59,15,1,random,10000
211,221,43,24,12,11,4,random,10000
109,204,62,4,81,3,20,random,10000
76,213,73,23,47,15,8,random,10000
50,155,82,17,68,2,12,random,10000
75,194,13,20,10,5,7,random,10000
109,3,4,25,85,4,4,random,10000
115,101,26,40,63,11,5,random,10000
191,109,90,23,70,10,10,random,10000
26,111,41,8,25,3,0,random,10000
9,67,8,40,80,3,4,random,10000
153,124,55,30,49,5,15,random,10000
249,40,6,12,94,8,3,random,10000
60,201,37,31,65,11,17,random,10000
226,165,26,5,27,6,4,random,10000
144,46,38,46,32,5,10,random,10000
103,142,20,11,17,20,0,random,10000
74,40,11,25,65,5,17,random,10000
13,185,70,12,50,7,16,random,10000
156,70,39,12,70,5,11,random,10000
248,85,4,28,0,17,18,random,10000
80,157,78,22,86,6,6,random,10000
81,10,100,47,13,12,11,random,10000
110,211,65,26,38,9,15,random,10000
187,45,54,3,69,2,0,random,10000
164,141,93,33,43,10,14,random,10000
114,131,60,42,4,15,7,random,10000
174,79,46,43,78,16,20,random,10000
165,86,46,18,10,11,2,random,10000
250,174,84,43,29,12,20,random,10000
63,163,78,5,95,6,0,random,10000
124,120,57,47,42,16,19,random,10000
57,135,32,45,33,18,0,random,10000
33,59,78,48,99,20,0,random,10000
64,185,88,38,81,5,18,random,10000
102,23,17,3,35,18,17,random,10000
37,130,48,1,80,14,8,random,10000
145,159,71,31,93,10,5,random,10000
60,238,93,43,71,3,17,random,10000
70,44,34,28,60,8,2,random,10000
235,92,100,7,65,14,9,random,10000
27,189,26,46,80,2,15,random,10000
48,217,39,17,30,19,7,random,10000
156,8,1,27,57,11,1,random,10000
101,235,11,39,49,12,10,random,10000
16,85,30,13,87,4,8,random,10000
161,8,2,48,23,1,18,random,10000
40,72,3,15,67,19,6,random,10000
38,84,35,20,54,16,6,random,10000
96,64,17,19,69,11,12,random,10000
120,240,35,12,10,7,9,random,10000
80,13,78,1,59,18,6,random,10000
148,51,4,8,33,13,19,random,10000
206,56,87,42,1,6,2,random,10000
111,221,50,30,86,14,4,random,10000
29,139,69,4,84,2,15,random,10000
221,230,92,1,78,8,16,random,10000
93,232,17,21,7,14,3,random,10000
198,71,2,35,43,11,1,random,10000
102,170,70,23,49,7,6,random,10000
198,82,54,21,83,11,13,random,10000
235,43,22,19,55,18,16,random,10000
235,190,1,31,54,9,0,random,10000
205,136,97,28,98,10,17,random,10000
171,27,71,17,53,17,4,random,10000
184,209,56,5,96,2,0,random,10000
158,106,50,20,77,14,16,random,10000
55,174,57,24,30,6,17,random,10000
113,33,4,43,53,3,20,random,10000
202,207,3,0,36,11,15,random,10000
111,34,2,7,10,13,17,random,10000
71,83,77,0,46,15,1,random,10000
13,43,54,40,56,6,1,random,10000
83,136,21,21,59,3,18,random,10000
236,109,39,28,38,11,10,random,10000
232,143,1,32,45,1,19,random,10000
7,184,0,23,11,2,0,random,10000
184,33,40,22,95,10,18,random,10000
137,190,15,39,86,1,12,random,10000
153,21,12,14,46,13,13,random,10000
250,196,47,16,94,19,7,random,10000
208,154,82,0,74,6,16,random,10000
57,106,75,27,28,17,11,random,10000
221,170,49,13,67,20,6,random,10000
216,88,43,8,70,13,17,random,10000
173,163,55,41,71,1,7,random,10000
186,172,7,0,30,14,9,random,10000
47,162,63,2,56,15,12,random,10000
206,116,72,15,6,4,1,random,10000
46,7,87,16,89,6,19,random,10000
120,198,13,29,18,19,2,random,10000
87,77,68,30,57,18,18,random,10000
83,21,59,17,96,15,4,random,10000
161,138,85,36,63,16,1,random,10000
248,42,78,47,48,4,13,random,10000
120,165,67,29,94,5,15,random,10000
64,11,50,19,99,17,0,random,10000
170,204,77,10,100,5,9,random,10000
241,91,45,44,68,5,10,random,10000
83,223,4,46,12,9,19,random,10000
172,238,81,13,100,11,16,random,10000
67,250,1,34,100,6,9,random,10000
4,163,61,29,91,2,9,random,10000
140,105,96,40,34,12,8,random,10000
241,16,56,33,37,2,0,random,10000
123,239,28,10,54,6,4,random,10000
138,20,85,17,59,9,13,random,10000
248,169,49,18,88,4,4,random,10000
59,223,55,31,52,5,17,random,10000
157,194,40,13,79,8,8,random,10000
203,202,45,0,13,11,18,random,10000
216,41,18,11,10,18,14,random,10000
229,44,86,26,44,5,0,random,10000
107,73,47,21,78,11,18,random,10000
183,103,5,23,13,19,20,random,10000
212,85,4,7,94,19,12,random,10000
177,9,8,9,93,4,19,random,10000
216,222,60,45,85,18,3,random,10000
136,203,94,5,46,10,8,random,10000
174,44,56,19,24,1,20,random,10000
199,75,11,33,96,1,18,random,10000
210,169,69,39,51,9,9,random,10000
115,106,87,13,50,17,5,random,10000
4,44,27,10,13,19,4,random,10000
116,175,63,20,24,5,12,random,10000
245,182,13,10,90,13,9,random,10000
221,21,82,27,51,10,2,random,10000
19,47,93,25,87,3,13,random,10000
188,147,38,20,97,2,20,random,10000
141,219,22,1,8,16,2,random,10000
137,246,34,18,11,20,13,random,10000
69,145,3,11,26,13,9,random,10000
44,13,0,36,55,20,5,random,10000
226,152,87,18,76,16,1,random,10000
150,156,28,10,0,8,11,random,10000
182,32,49,13,16,15,0,random,10000
97,30,44,16,42,14,20,random,10000
10,17,33,32,89,16,4,random,10000
32,15,11,16,40,4,14,random,10000
205,136,91,46,65,7,8,random,10000
26,71,7,24,35,17,20,random,10000
42,70,32,1,47,6,1,random,10000
74,67,4,1,80,20,8,random,10000
132,57,69,0,57,9,1,random,10000
196,136,11,48,12,10,15,random,10000
156,250,14,42,18,20,6,random,10000
7,160,80,45,96,2,18,random,10000
76,224,30,12,91,20,7,random,10000
45,19,93,43,84,15,3,random,10000
87,182,18,41,2,2,20,random,10000
52,179,67,13,43,1,6,random,10000
23,66,3,49,67,19,7,random,10000
81,130,91,38,52,12,18,random,10000
101,24,17,24,40,2,3,random,10000
41,32,2,32,80,14,3,random,10000
107,134,43,50,29,19,1,random,10000
9,124,50,33,70,6,11,random,10000
69,13,82,46,61,8,6,random,10000
111,238,52,30,22,20,17,random,10000
191,39,68,6,62,5,13,random,10000
141,143,20,9,22,16,6,random,10000
174,230,21,6,80,4,13,random,10000
166,61,44,48,47,5,15,random,10000
153,248,81,49,85,18,8,random,10000
41,229,63,45,12,17,12,random,10000
57,8,78,17,88,8,1,random,10000
114,131,86,27,8,9,17,random,10000
68,94,68,40,6,6,20,random,10000
232,103,18,6,59,20,12,random,10000
160,83,54,49,38,5,3,random,10000
239,188,19,29,46,16,10,random,10000
240,27,61,23,67,17,19,random,10000
181,50,53,30,66,7,9,random,10000
146,214,38,6,21,7,18,random,10000
139,78,25,44,67,13,13,random,10000
66,64,7,16,97,14,1,random,10000
98,214,40,17,71,18,13,random,10000
206,13,52,16,77,13,16,random,10000
183,146,60,44,73,19,5,random,10000
50,34,64,43,67,6,11,random,10000
64,160,93,8,49,20,11,random,10000
31,244,86,9,1,3,8,random,10000
235,243,28,30,72,12,11,random,10000
229,238,9,0,96,16,8,random,10000
81,115,44,34,0,3,1,random,10000
246,91,85,17,62,20,14,random,10000
133,216,93,2,50,16,10,random,10000
59,180,69,24,31,13,19,random,10000
187,76,4,31,73,5,16,random,10000
7,243,65,25,42,1,19,random,10000
148,115,39,44,42,6,20,random,10000
30,86,40,2,88,5,14,random,10000
208,212,13,16,24,10,1,random,10000
70,5,16,22,51,9,17,random,10000
183,86,24,41,71,12,1,random,10000
59,135,77,0,77,18,3,random,10000
13,113,98,3,73,20,3,random,10000
194,145,47,7,21,16,2,random,10000
158,7,46,8,94,20,11,random,10000
40,0,65,40,60,4,11,random,10000
234,27,46,12,88,12,16,random,10000
113,88,95,33,79,11,2,random,10000
24,78,41,39,43,1,1,random,10000
120,210,81,7,12,13,13,random,10000
216,52,42,15,92,9,20,random,10000
132,29,39,7,80,20,7,random,10000
151,60,61,40,23,18,13,random,10000
37,206,31,50,59,17,17,random,10000
237,145,43,13,74,17,13,random,10000
167,188,26,41,80,19,0,random,10000
122,122,15,15,82,9,7,random,10000
220,8,10,27,12,20,18,random,10000
8,17,48,0,95,13,4,random,10000
236,151,58,38,32,4,11,random,10000
92,226,9,30,13,3,17,random,10000
43,244,95,31,14,10,17,random,10000
235,232,62,12,59,13,1,random,10000
70,120,44,2,5,9,7,random,10000
126,170,3,34,46,14,7,random,10000
3,216,9,41,69,13,6,random,10000
89,1,32,40,62,6,7,random,10000
198,134,1,33,12,13,11,random,10000
224,161,35,47,13,12,15,random,10000
23,170,100,9,3,11,6,random,10000
30,65,37,5,80,15,15,random,10000
136,159,94,17,84,19,12,random,10000
12,180,67,27,50,10,8,random,10000
91,15,68,45,38,11,18,random,10000
52,21,100,23,40,5,5,random,10000
85,138,55,20,4,10,19,random,10000
214,237,83,6,70,4,3,random,10000
90,117,3,50,55,3,6,random,10000
70,123,61,46,38,18,8,random,10000
61,124,44,31,4,9,3,random,10000
226,67,31,12,70,10,8,random,10000
225,176,99,41,34,19,8,random,10000
47,58,2,27,41,10,11,random,10000
168,175,24,50,13,14,16,random,10000
236,95,78,28,88,9,1,random,10000
246,173,31,18,31,20,16,random,10000
44,65,23,17,37,5,10,random,10000
177,111,25,1,39,1,19,random,10000
241,21,92,44,68,19,9,random,10000
10,110,80,32,41,7,19,random,10000
204,218,83,17,83,15,4,random,10000
161,105,70,33,4,19,15,random,10000
151,132,82,3,65,3,8,random,10000
174,87,75,9,87,12,18,random,10000
96,57,21,40,35,1,7,random,10000
90,164,79,18,90,12,3,random,10000
119,100,22,13,87,1,9,random,10000
241,72,76,27,7,9,2,random,10000
239,150,9,4,54,2,18,random,10000
65,48,90,49,3,11,6,random,10000
131,221,79,29,28,10,2,random,10000
233,171,65,12,84,13,13,random,10000
135,215,74,45,26,3,16,random,10000
110,117,16,50,55,14,14,random,10000
19,32,43,18,65,4,9,random,10000
115,88,28,35,53,12,17,random,10000
6,200,26,31,72,15,10,random,10000
26,99,0,50,19,18,8,random,10000
153,66,82,47,79,18,0,random,10000
18,163,20,33,55,6,10,random,10000
235,153,37,9,85,16,14,random,10000
129,142,66,46,2,6,4,random,10000
71,176,23,1,79,16,18,random,10000
123,53,85,7,95,2,6,random,10000
56,23,71,13,72,7,16,random,10000
84,17,78,6,45,1,20,random,10000
192,86,32,32,67,3,6,random,10000
153,243,30,48,94,4,0,random,10000
13,175,64,15,58,2,11,random,10000
233,20,38,43,10,4,14,random,10000
159,88,72,0,42,16,5,random,10000
178,236,24,21,100,8,12,random,10000
153,231,95,15,56,9,19,random,10000
54,194,47,50,72,15,16,random,10000
108,225,76,15,98,17,0,random,10000
61,7,39,8,31,17,0,random,10000
0,108,8,33,86,15,9,random,10000
15,57,52,45,86,1,19,random,10000
115,2,55,27,76,6,18,random,10000
83,85,56,14,11,7,0,random,10000
150,224,47,19,71,15,14,random,10000
12,15,78,5,39,14,14,random,10000
209,239,54,28,68,11,10,random,10000
48,239,67,41,33,13,13,random,10000
236,168,35,23,87,16,11,random,10000
225,209,38,19,21,17,0,random,10000
91,87,94,23,72,6,10,random,10000
175,73,53,3,58,1,15,random,10000
92,56,86,17,37,2,3,random,10000
95,75,29,13,46,9,2,random,10000
241,162,90,6,69,12,19,random,10000
96,154,39,36,88,12,20,random,10000
96,50,38,49,80,6,0,random,10000
38,225,39,42,74,3,8,random,10000
216,171,39,31,77,9,0,random,10000
239,248,78,25,71,6,11,random,10000
58,56,17,35,24,13,20,random,10000
157,197,76,3,6,10,16,random,10000
164,196,59,28,20,2,2,random,10000
30,248,50,11,87,1,15,random,10000
107,174,5,13,54,15,17,random,10000
249,127,70,17,91,8,1,random,10000
128,14,51,10,68,9,19,random,10000
54,141,78,1,79,10,3,random,10000
35,19,37,33,86,4,3,random,10000
250,71,63,47,97,10,4,random,10000
199,156,67,3,86,13,6,random,10000
46,189,71,48,72,8,7,random,10000
76,229,32,46,26,4,2,random,10000
11,127,12,3,31,14,4,random,10000
106,94,38,35,9,11,5,random,10000
148,49,3,11,34,20,13,random,10000
107,215,62,34,4,16,6,random,10000
149,54,33,4,96,15,8,random,10000
247,151,99,27,34,9,18,random,10000
97,240,57,33,62,1,9,random,10000
77,48,79,14,13,18,6,random,10000
101,133,87,25,63,10,20,random,10000
46,165,36,15,35,12,0,random,10000
28,95,42,1,64,6,4,random,10000
198,138,73,46,33,8,14,random,10000
194,174,81,15,42,20,2,random,10000
182,236,50,30,19,9,8,random,10000
154,8,70,35,66,5,7,random,10000
81,112,16,37,50,7,14,random,10000
202,147,40,48,93,7,19,random,10000
245,68,13,42,10,17,0,random,10000
177,231,63,25,19,17,9,random,10000
68,25,34,21,54,13,13,random,10000
152,117,49,47,93,7,17,random,10000
223,201,54,49,9,13,8,random,10000
213,3,20,40,79,5,2,random,10000
114,176,69,4,41,3,16,random,10000
249,64,26,33,17,14,0,random,10000
142,68,64,18,14,5,17,random,10000
62,243,58,7,18,8,13,random,10000
174,76,77,42,41,9,4,random,10000
27,165,79,18,27,5,15,random,10000
176,29,32,34,5,12,13,random,10000
122,140,82,25,75,11,14,random,10000
36,21,90,29,60,17,20,random,10000
239,57,49,20,4,18,11,random,10000
115,214,20,31,51,2,6,random,10000
227,220,15,43,22,3,14,random,10000
207,17,73,1,15,5,3,random,10000
100,45,10,22,29,14,8,random,10000
54,36,89,6,97,5,20,random,10000
38,195,15,22,52,11,17,random,10000
127,47,46,18,83,15,18,random,10000
102,203,89,13,78,16,0,random,10000
42,12,19,44,39,13,6,random,10000
190,70,6,41,16,18,8,random,10000
173,158,80,37,41,13,10,random,10000
55,72,41,44,58,2,19,random,10000
83,74,1,9,100,16,19,random,10000
117,145,38,26,16,14,20,random,10000
18,111,23,47,29,6,5,random,10000
102,15,98,50,31,9,11,random,10000
100,54,71,48,23,6,11,random,10000
129,36,15,30,12,20,0,random,10000
130,4,22,36,68,14,2,random,10000
47,34,37,1,33,16,5,random,10000
121,243,31,20,58,12,9,random,10000
191,60,63,15,59,12,0,random,10000
213,76,1,46,94,16,1,random,10000
213,9,47,12,23,12,14,random,10000
228,172,60,24,33,3,15,random,10000
117,106,72,2,63,7,20,random,10000
177,149,87,33,64,1,9,random,10000
44,0,78,5,2,9,2,random,10000
63,89,16,47,65,13,20,random,10000
6,83,84,20,7,4,13,random,10000
45,97,68,19,4,10,6,random,10000
71,26,17,32,38,1,18,random,10000
86,68,81,10,61,2,9,random,10000
50,48,54,42,75,10,2,random,10000
249,88,50,31,55,8,13,random,10000
152,235,61,26,4,20,17,random,10000
228,6,91,49,62,15,7,random,10000
237,148,87,15,76,3,20,random,10000
125,120,0,22,77,18,10,random,10000
66,109,42,26,81,16,12,random,10000
157,154,72,4,63,9,11,random,10000
152,64,75,24,14,18,9,random,10000
32,192,50,42,68,8,11,random,10000
194,7,44,4,64,3,6,random,10000
208,247,92,20,61,15,8,random,10000
114,129,62,20,30,11,0,random,10000
150,214,52,30,96,5,0,random,10000
34,220,65,29,80,5,13,random,10000
80,65,68,6,5,19,13,random,10000
152,208,35,38,92,17,19,random,10000
209,218,2,15,5,4,5,random,10000
47,231,27,17,50,7,18,random,10000
187,20,21,36,40,6,20,random,10000
58,50,47,2,79,1,1,random,10000
72,162,27,20,91,15,14,random,10000
24,228,12,42,59,9,6,random,10000
164,156,24,22,4,3,2,random,10000
73,85,51,28,84,6,20,random,10000
89,215,43,12,58,12,11,random,10000
102,130,51,38,68,4,18,random,10000
128,73,55,1,59,15,18,random,10000
31,52,96,12,98,6,2,random,10000
169,245,58,11,37,19,14,random,10000
77,234,29,47,62,5,16,random,10000
1,113,83,1,49,20,12,random,10000
203,47,7,20,72,4,9,random,10000
231,165,62,44,23,9,0,random,10000
211,92,13,44,35,17,17,random,10000
197,10,11,33,53,13,14,random,10000
25,90,98,50,19,12,12,random,10000
28,178,87,20,36,3,12,random,10000
183,222,37,10,55,10,5,random,10000
188,23,53,40,12,10,6,random,10000
84,119,53,23,38,14,5,random,10000
38,245,32,10,52,1,15,random,10000
102,50,98,46,5,11,10,random,10000
250,1,25,2,100,6,10,random,10000
45,90,55,21,96,7,4,random,10000
59,140,25,5,23,3,6,random,10000
238,137,72,8,100,7,14,random,10000
136,49,57,7,38,16,12,random,10000
31,233,77,45,74,2,6,random,10000
40,159,12,49,57,1,6,random,10000
242,131,7,45,8,7,0,random,10000
10,97,89,46,23,12,11,random,10000
203,150,37,39,48,13,8,random,10000
167,166,21,48,24,6,5,random,10000
121,213,40,11,40,2,11,random,10000
238,107,94,34,36,14,11,random,10000
208,71,72,47,57,8,17,random,10000
222,30,89,25,0,9,11,random,10000
158,47,52,1,95,19,13,random,10000
242,104,11,1,71,15,17,random,10000
91,36,58,14,57,7,6,random,10000
176,69,81,46,39,6,19,random,10000
214,135,52,6,59,9,14,random,10000
229,240,32,48,80,13,20,random,10000
38,206,42,32,5,16,15,random,10000
114,244,72,19,3,12,0,random,10000
66,155,13,16,84,8,18,random,10000
103,137,93,24,39,4,3,random,10000
187,238,74,20,24,16,0,random,10000
163,123,73,37,21,7,18,random,10000
231,182,28,34,32,1,17,random,10000
132,198,29,36,41,20,18,random,10000
189,21,81,6,88,20,18,random,10000
15,71,13,19,40,5,16,random,10000
122,227,53,10,45,1,10,random,10000
33,248,42,26,71,9,5,random,10000
113,191,66,0,9,4,15,random,10000
183,207,74,33,87,17,20,random,10000
234,249,82,39,57,4,17,random,10000
174,133,74,29,21,1,3,random,10000
103,235,8,28,25,8,9,random,10000
70,43,8,42,53,7,16,random,10000
156,207,96,23,3,11,4,random,10000
171,28,83,32,75,6,1,random,10000
1,25,36,36,37,4,2,random,10000
122,189,98,37,63,10,2,random,10000
5,140,87,12,17,18,4,random,10000
243,110,7,32,62,6,1,random,10000
198,211,69,22,39,6,20,random,10000
129,19,3,25,70,6,9,random,10000
144,183,49,3,67,12,12,random,10000
109,45,92,35,41,4,18,random,10000
154,97,95,14,26,12,8,random,10000
155,38,27,30,1,4,6,random,10000
245,172,12,26,16,4,20,random,10000
107,103,85,27,49,1,5,random,10000
233,218,79,43,83,11,3,random,10000
233,218,27,11,73,5,9,random,10000
65,147,7,24,24,2,4,random,10000
144,14,35,21,7,19,0,random,10000
92,52,79,11,35,14,0,random,10000
31,244,40,26,60,13,3,random,10000
71,241,12,11,86,13,13,random,10000
54,177,50,45,0,14,17,random,10000
57,247,81,8,59,9,2,random,10000
95,40,6,21,75,12,1,random,10000
96,80,39,24,13,1,18,random,10000
105,55,68,19,66,15,17,random,10000
231,182,92,20,19,17,20,random,10000
103,95,58,39,60,1,11,random,10000
92,156,95,45,5,17,13,random,10000
146,165,50,2,79,17,9,random,10000
210,193,68,42,41,8,20,random,10000
196,41,33,4,42,14,13,random,10000
40,221,61,5,58,12,18,random,10000
207,230,64,39,21,12,15,random,10000
171,120,32,17,28,19,7,random,10000
234,49,85,22,30,14,1,random,10000
98,206,23,10,70,5,1,random,10000
23,34,58,11,42,20,10,random,10000
154,90,96,25,58,8,11,random,10000
134,134,49,34,24,2,14,random,10000
48,92,87,28,2,7,0,random,10000
96,48,71,48,48,11,20,random,10000
189,67,88,36,79,15,4,random,10000
91,237,22,5,84,17,20,random,10000
205,103,26,17,25,12,12,random,10000
182,77,28,16,43,6,16,random,10000
98,180,78,35,51,2,19,random,10000
4,176,0,28,77,18,15,random,10000
204,140,82,30,47,13,9,random,10000
245,212,86,39,98,5,9,random,10000
125,59,7,49,44,7,15,random,10000
109,38,70,21,64,8,4,random,10000
5,159,48,49,99,17,15,random,10000
74,56,15,30,63,1,13,random,10000
37,223,11,7,23,5,13,random,10000
183,141,73,17,11,15,10,random,10000
95,170,14,7,37,9,20,random,10000
131,230,36,2,63,17,12,random,10000
211,16,18,38,76,18,7,random,10000
234,167,71,28,80,7,16,random,10000
110,205,79,44,99,8,18,random,10000
245,189,29,26,14,19,17,random,10000
120,146,80,40,82,19,5,random,10000
104,26,59,24,95,17,3,random,10000
46,188,51,7,56,3,16,random,10000
102,46,41,31,78,15,12,random,10000
219,229,82,6,98,5,10,random,10000
98,92,11,21,42,11,9,random,10000
141,69,49,22,67,1,19,random,10000
56,225,90,41,18,9,17,random,10000
57,213,57,34,27,19,4,random,10000
108,28,62,9,0,20,6,random,10000
227,170,32,31,45,11,12,random,10000
108,86,83,27,34,20,6,random,10000
224,23,65,6,95,1,11,random,10000
157,82,54,16,93,14,9,random,10000
154,85,31,25,71,6,11,random,10000
4,43,75,9,27,9,2,random,10000
243,22,82,34,0,16,20,random,10000
17,83,73,16,88,5,15,random,10000
203,233,8,16,24,3,13,random,10000
158,64,81,38,6,15,5,random,10000
218,126,8,30,53,16,3,random,10000
244,185,89,32,22,19,12,random,10000
201,248,57,45,61,16,11,random,10000
239,223,61,4,77,5,13,random,10000
25,24,77,0,51,4,1,random,10000
35,156,24,39,39,18,0,random,10000
150,209,94,2,82,9,7,random,10000
146,88,100,7,83,2,3,random,10000
153,223,45,33,36,15,9,random,10000
47,207,68,22,6,16,12,random,10000
57,56,40,43,36,8,19,random,10000
100,29,78,50,86,10,11,random,10000
110,125,4,20,63,1,0,random,10000
25,241,62,20,29,11,2,random,10000
99,208,96,11,7,4,19,random,10000
75,222,26,28,34,6,15,random,10000
220,17,93,6,78,10,19,random,10000
44,97,97,20,32,3,10,random,10000
36,136,7,19,5,3,12,random,10000
55,97,25,33,93,10,17,random,10000
3,159,100,17,21,16,4,random,10000
15,242,2,29,11,4,0,random,10000
20,237,5,48,61,13,13,random,10000
122,131,12,43,7,17,1,random,10000
145,64,41,5,84,7,20,random,10000
5,166,73,23,71,13,9,random,10000
219,95,21,33,33,18,5,random,10000
189,168,62,45,82,3,8,random,10000
76,71,64,49,3,9,18,random,10000
105,143,11,11,45,1,6,random,10000
129,70,99,24,66,12,17,random,10000
39,149,39,29,65,9,19,random,10000
112,200,91,12,13,3,9,random,10000
205,243,84,21,32,3,1,random,10000
168,237,94,49,57,4,12,random,10000
28,133,74,3,35,9,19,random,10000
23,142,21,48,28,3,11,random,10000
185,85,77,43,25,3,8,random,10000
117,60,75,36,37,19,12,random,10000
129,172,94,43,77,14,6,random,10000
5,44,70,5,2,3,17,random,10000
20,92,44,38,99,1,5,random,10000
105,60,54,33,22,20,19,random,10000
136,16,63,48,48,19,3,random,10000
222,115,11,40,71,15,16,random,10000
227,209,50,39,85,11,19,random,10000
124,242,57,28,86,15,3,random,10000
95,28,18,13,53,8,9,random,10000
36,9,25,4,50,18,20,random,10000
139,178,46,32,46,6,18,random,10000
110,211,5,47,23,11,13,random,10000
47,58,66,26,33,17,7,random,10000
144,178,86,17,92,19,7,random,10000
199,81,92,49,24,12,17,random,10000
4,48,87,27,60,1,4,random,10000
157,205,29,45,90,1,12,random,10000
65,247,66,1,61,15,4,random,10000
170,243,42,30,11,3,19,random,10000
96,13,50,21,24,20,0,random,10000
22,14,90,22,85,13,9,random,10000
191,58,1,19,60,1,7,random,10000
129,201,61,12,19,17,16,random,10000
169,127,83,50,61,11,2,random,10000
236,142,34,40,70,10,2,random,10000
35,214,94,12,69,20,17,random,10000
179,238,4,41,4,7,9,random,10000
20,8,68,30,40,4,5,random,10000
78,105,7,12,14,20,16,random,10000
99,23,98,2,17,14,7,random,10000
96,77,21,22,19,18,8,random,10000
231,34,46,29,67,16,2,random,10000
105,138,71,19,40,10,8,random,10000
102,100,27,43,66,2,11,random,10000
205,49,58,28,43,6,11,random,10000
61,205,33,14,37,18,7,random,10000
235,102,46,24,14,19,18,random,10000
80,188,18,22,53,10,10,random,10000
72,89,75,12,6,13,15,random,10000
177,28,75,11,19,7,0,random,10000
241,108,79,20,26,3,16,random,10000
121,111,33,15,70,18,9,random,10000
197,211,16,42,55,17,11,random,10000
127,227,60,30,63,10,9,random,10000
196,126,42,29,16,14,6,random,10000
202,31,19,6,77,4,6,random,10000
74,202,26,40,97,16,13,random,10000
51,116,79,48,56,3,9,random,10000
136,8,99,22,58,6,11,random,10000
213,6,25,21,80,16,9,random,10000
149,23,42,16,24,10,13,random,10000
240,198,14,12,3,20,3,random,10000
93,219,52,17,25,7,3,random,10000
4,178,60,50,84,16,7,random,10000
12,39,40,27,33,13,7,random,10000
239,35,21,19,90,10,3,random,10000
87,217,42,44,37,6,16,random,10000
191,176,53,25,65,17,20,random,10000
175,239,41,43,66,19,20,random,10000
45,142,100,34,64,9,19,random,10000
7,132,18,39,55,12,19,random,10000
152,64,90,4,73,3,10,random,10000
30,105,18,40,86,9,1,random,10000
117,40,22,27,67,3,5,random,10000
214,80,35,8,64,16,11,random,10000
46,121,96,50,44,12,6,random,10000
56,89,12,26,52,15,4,random,10000
12,228,100,43,20,15,7,random,10000
211,199,44,17,20,9,17,random,10000
10,12,21,4,63,4,5,random,10000
83,53,91,37,31,17,13,random,10000
160,28,57,6,85,1,12,random,10000
188,67,98,19,79,3,19,random,10000
232,74,3,7,12,17,7,random,10000
85,142,48,44,13,13,16,random,10000
161,82,62,22,47,1,12,random,10000
3,206,28,17,39,6,0,random,10000
89,200,9,50,2,10,1,random,10000
190,60,58,31,66,8,19,random,10000
227,192,91,26,3,20,15,random,10000
187,239,6,31,58,20,11,random,10000
119,37,19,44,46,5,9,random,10000
140,217,77,16,20,4,0,random,10000
23,58,25,35,72,3,5,random,10000
12,188,58,31,54,12,8,random,10000
84,26,82,14,89,15,4,random,10000
240,147,11,11,55,13,13,random,10000
122,182,30,40,25,20,0,random,10000
125,138,78,19,37,3,9,random,10000
107,38,6,21,82,16,8,random,10000
149,90,43,12,64,17,14,random,10000
133,168,58,22,46,13,6,random,10000
128,25,19,17,55,16,12,random,10000
70,156,37,19,7,10,10,random,10000
26,227,25,14,51,18,6,random,10000
193,147,9,22,84,19,7,random,10000
97,141,22,17,71,1,4,random,10000
183,88,72,39,86,16,2,random,10000
246,186,33,19,41,6,14,random,10000
46,183,42,14,72,18,10,random,10000
49,208,13,14,26,1,20,random,10000
227,54,93,31,84,6,6,random,10000
225,96,65,9,59,7,15,random,10000
14,48,3,5,100,16,13,random,10000
122,33,14,31,13,18,14,random,10000
85,108,5,23,47,9,12,random,10000
115,95,64,46,59,6,6,random,10000
244,246,77,18,32,7,0,random,10000
30,212,89,26,66,6,10,random,10000
86,241,19,12,42,12,1,random,10000
